Series_Title,Released_Year,Certificate,Genre,IMDB_Rating,Overview,Director,Star1,Star2,Star3,Star4,Keywords,soup
The Fall,2006,Adult,adventure  drama  fantasy,7.9,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",tarsemsingh,leepace,catincauntaru,justinewaddell,kimuylenbroek, ,adventure  drama  fantasy tarsemsingh leepace catincauntaru justinewaddell kimuylenbroek  
Life of Pi,2012,Family,adventure  drama  fantasy,7.9,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",anglee,surajsharma,irrfankhan,adilhussain,tabu, ,adventure  drama  fantasy anglee surajsharma irrfankhan adilhussain tabu  
Fantastic Mr. Fox,2009,Family,animation  adventure  comedy,7.9,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,wesanderson,georgeclooney,merylstreep,billmurray,jasonschwartzman, ,animation  adventure  comedy wesanderson georgeclooney merylstreep billmurray jasonschwartzman  
C.R.A.Z.Y.,2005,Adult,comedy  drama,7.9,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs.",jean-marcvallée,michelcôté,marc-andrégrondin,danielleproulx,émilevallée, ,comedy  drama jean-marcvallée michelcôté marc-andrégrondin danielleproulx émilevallée  
Les choristes,2004,Adult,drama  music,7.9,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,christophebarratier,gérardjugnot,françoisberléand,jean-baptistemaunier,kadmerad, ,drama  music christophebarratier gérardjugnot françoisberléand jean-baptistemaunier kadmerad  
Iron Man,2008,Adult,action  adventure  sci-fi,7.9,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",jonfavreau,robertdowneyjr.,gwynethpaltrow,terrencehoward,jeffbridges, ,action  adventure  sci-fi jonfavreau robertdowneyjr. gwynethpaltrow terrencehoward jeffbridges  
Shaun of the Dead,2004,Adult,comedy  horror,7.9,A man's uneventful life is disrupted by the zombie apocalypse.,edgarwright,simonpegg,nickfrost,kateashfield,lucydavis, ,comedy  horror edgarwright simonpegg nickfrost kateashfield lucydavis  
Gegen die Wand,2004,Adult,drama  romance,7.9,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.",fatihakin,birolünel,sibelkekilli,güvenkiraç,zarahjanemckenzie, ,drama  romance fatihakin birolünel sibelkekilli güvenkiraç zarahjanemckenzie  
Mystic River,2003,Adult,crime  drama  mystery,7.9,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,clinteastwood,seanpenn,timrobbins,kevinbacon,emmyrossum, ,crime  drama  mystery clinteastwood seanpenn timrobbins kevinbacon emmyrossum  
Harry Potter and the Prisoner of Azkaban,2004,Family,adventure  family  fantasy,7.9,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",alfonsocuarón,danielradcliffe,emmawatson,rupertgrint,richardgriffiths, ,adventure  family  fantasy alfonsocuarón danielradcliffe emmawatson rupertgrint richardgriffiths  
Ying xiong,2002,Adult,action  adventure  history,7.9,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",yimouzhang,jetli,tonychiu-waileung,maggiecheung,ziyizhang, ,action  adventure  history yimouzhang jetli tonychiu-waileung maggiecheung ziyizhang  
Hable con ella,2002,Adult,drama  mystery  romance,7.9,Two men share an odd friendship while they care for two women who are both in deep comas.,pedroalmodóvar,rosarioflores,javiercámara,daríograndinetti,leonorwatling, ,drama  mystery  romance pedroalmodóvar rosarioflores javiercámara daríograndinetti leonorwatling  
No Man's Land,2001,Adult,comedy  drama  war,7.9,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.",danistanovic,brankodjuric,renebitorajac,filipsovagovic,georgessiatidis, ,comedy  drama  war danistanovic brankodjuric renebitorajac filipsovagovic georgessiatidis  
Cowboy Bebop: Tengoku no tobira,2001,Family,animation  action  crime,7.9,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",shin'ichirôwatanabe,tensaiokamura,hiroyukiokiura,yoshiyukitakei,beaubillingslea, ,animation  action  crime shin'ichirôwatanabe tensaiokamura hiroyukiokiura yoshiyukitakei beaubillingslea  
The Bourne Identity,2002,Adult,action  mystery  thriller,7.9,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",dougliman,frankapotente,mattdamon,chriscooper,cliveowen, ,action  mystery  thriller dougliman frankapotente mattdamon chriscooper cliveowen  
Nueve reinas,2000,Adult,crime  drama  thriller,7.9,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",fabiánbielinsky,ricardodarín,gastónpauls,gracielatenenbaum,maríamercedesvillagra, ,crime  drama  thriller fabiánbielinsky ricardodarín gastónpauls gracielatenenbaum maríamercedesvillagra  
Children of Men,2006,Adult,adventure  drama  sci-fi,7.9,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",alfonsocuarón,juliannemoore,cliveowen,chiwetelejiofor,michaelcaine, ,adventure  drama  sci-fi alfonsocuarón juliannemoore cliveowen chiwetelejiofor michaelcaine  
Almost Famous,2000,Adult,adventure  comedy  drama,7.9,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,cameroncrowe,billycrudup,patrickfugit,katehudson,francesmcdormand, ,adventure  comedy  drama cameroncrowe billycrudup patrickfugit katehudson francesmcdormand  
Mulholland Dr.,2001,Adult,drama  mystery  thriller,7.9,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",davidlynch,naomiwatts,lauraharring,justintheroux,jeannebates, ,drama  mystery  thriller davidlynch naomiwatts lauraharring justintheroux jeannebates  
Toy Story 2,1999,Family,animation  adventure  comedy,7.9,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",johnlasseter,ashbrannon,leeunkrich,tomhanks,timallen, ,animation  adventure  comedy johnlasseter ashbrannon leeunkrich tomhanks timallen  
Boogie Nights,1997,Adult,drama,7.9,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",paulthomasanderson,markwahlberg,juliannemoore,burtreynolds,luisguzmán, ,drama paulthomasanderson markwahlberg juliannemoore burtreynolds luisguzmán  
Mimi wo sumaseba,1995,Family,animation  drama  family,7.9,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",yoshifumikondô,yokohonna,isseytakahashi,takashitachibana,shigerumuroi, ,animation  drama  family yoshifumikondô yokohonna isseytakahashi takashitachibana shigerumuroi  
Once Were Warriors,1994,Adult,crime  drama,7.9,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,leetamahori,renaowen,temueramorrison,mamaengaroakerr-bell,julianarahanga, ,crime  drama leetamahori renaowen temueramorrison mamaengaroakerr-bell julianarahanga  
True Romance,1993,Adult,crime  drama  romance,7.9,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",tonyscott,christianslater,patriciaarquette,dennishopper,valkilmer, ,crime  drama  romance tonyscott christianslater patriciaarquette dennishopper valkilmer  
Trois couleurs: Bleu,1993,Family,drama  music  mystery,7.9,A woman struggles to find a way to live her life after the death of her husband and child.,krzysztofkieslowski,juliettebinoche,zbigniewzamachowski,juliedelpy,benoîtrégent, ,drama  music  mystery krzysztofkieslowski juliettebinoche zbigniewzamachowski juliedelpy benoîtrégent  
Jûbê ninpûchô,1993,Adult,animation  action  adventure,7.9,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,yoshiakikawajiri,kôichiyamadera,emishinohara,takeshiaono,osamusaka, ,animation  action  adventure yoshiakikawajiri kôichiyamadera emishinohara takeshiaono osamusaka  
Carlito's Way,1993,Adult,crime  drama  thriller,7.9,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",briandepalma,alpacino,seanpenn,penelopeannmiller,johnleguizamo, ,crime  drama  thriller briandepalma alpacino seanpenn penelopeannmiller johnleguizamo  
Edward Scissorhands,1990,Family,drama  fantasy  romance,7.9,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",timburton,johnnydepp,winonaryder,diannewiest,anthonymichaelhall, ,drama  fantasy  romance timburton johnnydepp winonaryder diannewiest anthonymichaelhall  
My Left Foot: The Story of Christy Brown,1989,Family,biography  drama,7.9,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",jimsheridan,danielday-lewis,brendafricker,alisonwhelan,kirstensheridan, ,biography  drama jimsheridan danielday-lewis brendafricker alisonwhelan kirstensheridan  
Crimes and Misdemeanors,1989,Adult,comedy  drama,7.9,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,woodyallen,martinlandau,woodyallen,billbernstein,clairebloom, ,comedy  drama woodyallen martinlandau woodyallen billbernstein clairebloom  
The Untouchables,1987,Adult,crime  drama  thriller,7.9,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",briandepalma,kevincostner,seanconnery,robertdeniro,charlesmartinsmith, ,crime  drama  thriller briandepalma kevincostner seanconnery robertdeniro charlesmartinsmith  
Hannah and Her Sisters,1986,Adult,comedy  drama,7.9,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",woodyallen,miafarrow,diannewiest,michaelcaine,barbarahershey, ,comedy  drama woodyallen miafarrow diannewiest michaelcaine barbarahershey  
Brazil,1985,Family,drama  sci-fi,7.9,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,terrygilliam,jonathanpryce,kimgreist,robertdeniro,katherinehelmond, ,drama  sci-fi terrygilliam jonathanpryce kimgreist robertdeniro katherinehelmond  
This Is Spinal Tap,1984,Adult,comedy  music,7.9,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",robreiner,robreiner,michaelmckean,christopherguest,kimberlystringer, ,comedy  music robreiner robreiner michaelmckean christopherguest kimberlystringer  
A Christmas Story,1983,Family,comedy  family,7.9,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",bobclark,peterbillingsley,melindadillon,darrenmcgavin,scottschwartz, ,comedy  family bobclark peterbillingsley melindadillon darrenmcgavin scottschwartz  
The Blues Brothers,1980,Family,action  adventure  comedy,7.9,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",johnlandis,johnbelushi,danaykroyd,cabcalloway,johncandy, ,action  adventure  comedy johnlandis johnbelushi danaykroyd cabcalloway johncandy  
Manhattan,1979,Adult,comedy  drama  romance,7.9,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,woodyallen,woodyallen,dianekeaton,marielhemingway,michaelmurphy, ,comedy  drama  romance woodyallen woodyallen dianekeaton marielhemingway michaelmurphy  
All That Jazz,1979,Adult,drama  music  musical,7.9,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",bobfosse,royscheider,jessicalange,annreinking,lelandpalmer, ,drama  music  musical bobfosse royscheider jessicalange annreinking lelandpalmer  
Dawn of the Dead,1978,Adult,action  adventure  horror,7.9,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",georgea.romero,davidemge,kenforee,scotth.reiniger,gaylenross, ,action  adventure  horror georgea.romero davidemge kenforee scotth.reiniger gaylenross  
All the President's Men,1976,Family,biography  drama  history,7.9,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",alanj.pakula,dustinhoffman,robertredford,jackwarden,martinbalsam, ,biography  drama  history alanj.pakula dustinhoffman robertredford jackwarden martinbalsam  
La montaña sagrada,1973,Adult,adventure  drama  fantasy,7.9,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",alejandrojodorowsky,alejandrojodorowsky,horaciosalinas,zamirasaunders,juanferrara, ,adventure  drama  fantasy alejandrojodorowsky alejandrojodorowsky horaciosalinas zamirasaunders juanferrara  
Amarcord,1973,Adult,comedy  drama  family,7.9,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,federicofellini,magalinoël,brunozanin,pupellamaggio,armandobrancia, ,comedy  drama  family federicofellini magalinoël brunozanin pupellamaggio armandobrancia  
Le charme discret de la bourgeoisie,1972,Family,comedy,7.9,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",luisbuñuel,fernandorey,delphineseyrig,paulfrankeur,bulleogier, ,comedy luisbuñuel fernandorey delphineseyrig paulfrankeur bulleogier  
"Aguirre, der Zorn Gottes",1972,Adult,action  adventure  biography,7.9,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",wernerherzog,klauskinski,ruyguerra,helenarojo,delnegro, ,action  adventure  biography wernerherzog klauskinski ruyguerra helenarojo delnegro  
Harold and Maude,1971,Family,comedy  drama  romance,7.9,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",halashby,ruthgordon,budcort,vivianpickles,cyrilcusack, ,comedy  drama  romance halashby ruthgordon budcort vivianpickles cyrilcusack  
Patton,1970,Family,biography  drama  war,7.9,The World War II phase of the career of controversial American general George S. Patton.,franklinj.schaffner,georgec.scott,karlmalden,stephenyoung,michaelstrong, ,biography  drama  war franklinj.schaffner georgec.scott karlmalden stephenyoung michaelstrong  
The Wild Bunch,1969,Adult,action  adventure  western,7.9,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",sampeckinpah,williamholden,ernestborgnine,robertryan,edmondo'brien, ,action  adventure  western sampeckinpah williamholden ernestborgnine robertryan edmondo'brien  
Night of the Living Dead,1968,Adult,horror  thriller,7.9,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,georgea.romero,duanejones,juditho'dea,karlhardman,marilyneastman, ,horror  thriller georgea.romero duanejones juditho'dea karlhardman marilyneastman  
The Lion in Winter,1968,Family,biography  drama  history,7.9,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",anthonyharvey,petero'toole,katharinehepburn,anthonyhopkins,johncastle, ,biography  drama  history anthonyharvey petero'toole katharinehepburn anthonyhopkins johncastle  
In the Heat of the Night,1967,Family,crime  drama  mystery,7.9,A black police detective is asked to investigate a murder in a racially hostile southern town.,normanjewison,sidneypoitier,rodsteiger,warrenoates,leegrant, ,crime  drama  mystery normanjewison sidneypoitier rodsteiger warrenoates leegrant  
Charade,1963,Family,comedy  mystery  romance,7.9,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,stanleydonen,carygrant,audreyhepburn,waltermatthau,jamescoburn, ,comedy  mystery  romance stanleydonen carygrant audreyhepburn waltermatthau jamescoburn  
The Manchurian Candidate,1962,Adult,drama  thriller,7.9,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,johnfrankenheimer,franksinatra,laurenceharvey,janetleigh,angelalansbury, ,drama  thriller johnfrankenheimer franksinatra laurenceharvey janetleigh angelalansbury  
Spartacus,1960,Adult,adventure  biography  drama,7.9,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,stanleykubrick,kirkdouglas,laurenceolivier,jeansimmons,charleslaughton, ,adventure  biography  drama stanleykubrick kirkdouglas laurenceolivier jeansimmons charleslaughton  
L'avventura,1960,Family,drama  mystery,7.9,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",michelangeloantonioni,gabrieleferzetti,monicavitti,leamassari,dominiqueblanchar, ,drama  mystery michelangeloantonioni gabrieleferzetti monicavitti leamassari dominiqueblanchar  
Hiroshima mon amour,1959,Adult,drama  romance,7.9,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,alainresnais,emmanuelleriva,eijiokada,stelladassas,pierrebarbaud, ,drama  romance alainresnais emmanuelleriva eijiokada stelladassas pierrebarbaud  
The Ten Commandments,1956,Family,adventure  drama,7.9,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",cecilb.demille,charltonheston,yulbrynner,annebaxter,edwardg.robinson, ,adventure  drama cecilb.demille charltonheston yulbrynner annebaxter edwardg.robinson  
The Searchers,1956,Adult,adventure  drama  western,7.9,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,johnford,johnwayne,jeffreyhunter,veramiles,wardbond, ,adventure  drama  western johnford johnwayne jeffreyhunter veramiles wardbond  
East of Eden,1955,Family,drama,7.9,"Two brothers struggle to maintain their strict, Bible-toting father's favor.",eliakazan,jamesdean,raymondmassey,julieharris,burlives, ,drama eliakazan jamesdean raymondmassey julieharris burlives  
High Noon,1952,Family,drama  thriller  western,7.9,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",fredzinnemann,garycooper,gracekelly,thomasmitchell,lloydbridges, ,drama  thriller  western fredzinnemann garycooper gracekelly thomasmitchell lloydbridges  
Strangers on a Train,1951,Adult,crime  film-noir  thriller,7.9,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,alfredhitchcock,farleygranger,robertwalker,ruthroman,leog.carroll, ,crime  film-noir  thriller alfredhitchcock farleygranger robertwalker ruthroman leog.carroll  
Harvey,1950,Adult,comedy  drama  fantasy,7.9,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",henrykoster,jamesstewart,wallaceford,williamh.lynn,victoriahorne, ,comedy  drama  fantasy henrykoster jamesstewart wallaceford williamh.lynn victoriahorne  
Miracle on 34th Street,1947,Adult,comedy  drama  family,7.9,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",georgeseaton,edmundgwenn,maureeno'hara,johnpayne,genelockhart, ,comedy  drama  family georgeseaton edmundgwenn maureeno'hara johnpayne genelockhart  
Notorious,1946,Family,drama  film-noir  romance,7.9,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,alfredhitchcock,carygrant,ingridbergman,clauderains,louiscalhern, ,drama  film-noir  romance alfredhitchcock carygrant ingridbergman clauderains louiscalhern  
The Big Sleep,1946,Adult,crime  film-noir  mystery,7.9,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",howardhawks,humphreybogart,laurenbacall,johnridgely,marthavickers, ,crime  film-noir  mystery howardhawks humphreybogart laurenbacall johnridgely marthavickers  
The Lost Weekend,1945,Adult,drama  film-noir,7.9,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,billywilder,raymilland,janewyman,phillipterry,howarddasilva, ,drama  film-noir billywilder raymilland janewyman phillipterry howarddasilva  
The Philadelphia Story,1940,Adult,comedy  romance,7.9,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",georgecukor,carygrant,katharinehepburn,jamesstewart,ruthhussey, ,comedy  romance georgecukor carygrant katharinehepburn jamesstewart ruthhussey  
His Girl Friday,1940,Adult,comedy  drama  romance,7.9,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,howardhawks,carygrant,rosalindrussell,ralphbellamy,genelockhart, ,comedy  drama  romance howardhawks carygrant rosalindrussell ralphbellamy genelockhart  
The Adventures of Robin Hood,1938,Family,action  adventure  romance,7.9,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",michaelcurtiz,williamkeighley,errolflynn,oliviadehavilland,basilrathbone, ,action  adventure  romance michaelcurtiz williamkeighley errolflynn oliviadehavilland basilrathbone  
A Night at the Opera,1935,Adult,comedy  music  musical,7.9,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,samwood,edmundgoulding,grouchomarx,chicomarx,harpomarx, ,comedy  music  musical samwood edmundgoulding grouchomarx chicomarx harpomarx  
King Kong,1933,Adult,adventure  horror  sci-fi,7.9,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,merianc.cooper,ernestb.schoedsack,faywray,robertarmstrong,brucecabot, ,adventure  horror  sci-fi merianc.cooper ernestb.schoedsack faywray robertarmstrong brucecabot  
Freaks,1932,Adult,drama  horror,7.9,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",todbrowning,wallaceford,leilahyams,olgabaclanova,roscoeates, ,drama  horror todbrowning wallaceford leilahyams olgabaclanova roscoeates  
Nosferatu,1922,Adult,fantasy  horror,7.9,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,f.w.murnau,maxschreck,alexandergranach,gustavvonwangenheim,gretaschröder, ,fantasy  horror f.w.murnau maxschreck alexandergranach gustavvonwangenheim gretaschröder  
The Gentlemen,2019,Adult,action  comedy  crime,7.8,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",guyritchie,matthewmcconaughey,charliehunnam,michelledockery,jeremystrong, ,action  comedy  crime guyritchie matthewmcconaughey charliehunnam michelledockery jeremystrong  
Raazi,2018,Adult,action  drama  thriller,7.8,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,meghnagulzar,aliabhatt,vickykaushal,rajitkapoor,shishirsharma, ,action  drama  thriller meghnagulzar aliabhatt vickykaushal rajitkapoor shishirsharma  
Sound of Metal,2019,Adult,drama  music,7.8,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,dariusmarder,rizahmed,oliviacooke,paulraci,laurenridloff, ,drama  music dariusmarder rizahmed oliviacooke paulraci laurenridloff  
Forushande,2016,Adult,drama,7.8,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",asgharfarhadi,shahabhosseini,taranehalidoosti,babakkarimi,minasadati, ,drama asgharfarhadi shahabhosseini taranehalidoosti babakkarimi minasadati  
Dunkirk,2017,Adult,action  drama  history,7.8,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",christophernolan,fionnwhitehead,barrykeoghan,markrylance,tomhardy, ,action  drama  history christophernolan fionnwhitehead barrykeoghan markrylance tomhardy  
Perfetti sconosciuti,2016,Adult,comedy  drama,7.8,"Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles.",paologenovese,giuseppebattiston,annafoglietta,marcogiallini,edoardoleo, ,comedy  drama paologenovese giuseppebattiston annafoglietta marcogiallini edoardoleo  
Hidden Figures,2016,Adult,biography  drama  history,7.8,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,theodoremelfi,tarajip.henson,octaviaspencer,janellemonáe,kevincostner, ,biography  drama  history theodoremelfi tarajip.henson octaviaspencer janellemonáe kevincostner  
Paddington 2,2017,Family,adventure  comedy  family,7.8,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",paulking,benwhishaw,hughgrant,hughbonneville,sallyhawkins, ,adventure  comedy  family paulking benwhishaw hughgrant hughbonneville sallyhawkins  
Udta Punjab,2016,Adult,action  crime  drama,7.8,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,abhishekchaubey,shahidkapoor,aliabhatt,kareenakapoor,diljitdosanjh, ,action  crime  drama abhishekchaubey shahidkapoor aliabhatt kareenakapoor diljitdosanjh  
Kubo and the Two Strings,2016,Family,animation  action  adventure,7.8,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,travisknight,charlizetheron,artparkinson,matthewmcconaughey,ralphfiennes, ,animation  action  adventure travisknight charlizetheron artparkinson matthewmcconaughey ralphfiennes  
M.S. Dhoni: The Untold Story,2016,Family,biography  drama  sport,7.8,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,neerajpandey,sushantsinghrajput,kiaraadvani,anupamkher,dishapatani, ,biography  drama  sport neerajpandey sushantsinghrajput kiaraadvani anupamkher dishapatani  
Manchester by the Sea,2016,Adult,drama,7.8,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,kennethlonergan,caseyaffleck,michellewilliams,kylechandler,lucashedges, ,drama kennethlonergan caseyaffleck michellewilliams kylechandler lucashedges  
Under sandet,2015,Adult,drama  history  war,7.8,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",martinzandvliet,rolandmøller,louishofmann,joelbasman,mikkelboefølsgaard, ,drama  history  war martinzandvliet rolandmøller louishofmann joelbasman mikkelboefølsgaard  
Rogue One,2016,Adult,action  adventure  sci-fi,7.8,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,garethedwards,felicityjones,diegoluna,alantudyk,donnieyen, ,action  adventure  sci-fi garethedwards felicityjones diegoluna alantudyk donnieyen  
Captain America: Civil War,2016,Adult,action  adventure  sci-fi,7.8,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,anthonyrusso,joerusso,chrisevans,robertdowneyjr.,scarlettjohansson, ,action  adventure  sci-fi anthonyrusso joerusso chrisevans robertdowneyjr. scarlettjohansson  
The Hateful Eight,2015,Adult,crime  drama  mystery,7.8,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",quentintarantino,samuell.jackson,kurtrussell,jenniferjasonleigh,waltongoggins, ,crime  drama  mystery quentintarantino samuell.jackson kurtrussell jenniferjasonleigh waltongoggins  
