Series_Title,Released_Year,Certificate,Genre,IMDB_Rating,Overview,Director,Star1,Star2,Star3,Star4,Keywords,soup
Once Upon a Time in the West,1968,Family,western,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,sergioleone,henryfonda,charlesbronson,claudiacardinale,jasonrobards, ,western sergioleone henryfonda charlesbronson claudiacardinale jasonrobards  
Psycho,1960,Adult,horror  mystery  thriller,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",alfredhitchcock,anthonyperkins,janetleigh,veramiles,johngavin, ,horror  mystery  thriller alfredhitchcock anthonyperkins janetleigh veramiles johngavin  
Casablanca,1942,Family,drama  romance  war,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,michaelcurtiz,humphreybogart,ingridbergman,paulhenreid,clauderains, ,drama  romance  war michaelcurtiz humphreybogart ingridbergman paulhenreid clauderains  
Modern Times,1936,,comedy  drama  family,8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,charleschaplin,charleschaplin,paulettegoddard,henrybergman,tinysandford, ,comedy  drama  family charleschaplin charleschaplin paulettegoddard henrybergman tinysandford  
City Lights,1931,,comedy  drama  romance,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",charleschaplin,charleschaplin,virginiacherrill,florencelee,harrymyers, ,comedy  drama  romance charleschaplin charleschaplin virginiacherrill florencelee harrymyers  
Capharnaüm,2018,Adult,drama,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",nadinelabaki,zainalrafeea,yordanosshiferaw,boluwatifetreasurebankole,kawsaralhaddad, ,drama nadinelabaki zainalrafeea yordanosshiferaw boluwatifetreasurebankole kawsaralhaddad  
Ayla: The Daughter of War,2017,Adult,biography  drama  history,8.4,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »",canulkay,erdemcan,çetintekindor,ismailhacioglu,kyung-jinlee, ,biography  drama  history canulkay erdemcan çetintekindor ismailhacioglu kyung-jinlee  
Vikram Vedha,2017,Adult,action  crime  drama,8.4,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",gayatri,pushkar,madhavan,vijaysethupathi,shraddhasrinath, ,action  crime  drama gayatri pushkar madhavan vijaysethupathi shraddhasrinath  
Kimi no na wa.,2016,Family,animation  drama  fantasy,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",makotoshinkai,ryûnosukekamiki,monekamishiraishi,ryônarita,aoiyûki, ,animation  drama  fantasy makotoshinkai ryûnosukekamiki monekamishiraishi ryônarita aoiyûki  
Dangal,2016,Family,action  biography  drama,8.4,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,niteshtiwari,aamirkhan,sakshitanwar,fatimasanashaikh,sanyamalhotra, ,action  biography  drama niteshtiwari aamirkhan sakshitanwar fatimasanashaikh sanyamalhotra  
Spider-Man: Into the Spider-Verse,2018,Family,animation  action  adventure,8.4,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",bobpersichetti,peterramsey,rodneyrothman,shameikmoore,jakejohnson, ,animation  action  adventure bobpersichetti peterramsey rodneyrothman shameikmoore jakejohnson  
Avengers: Endgame,2019,Adult,action  adventure  drama,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",anthonyrusso,joerusso,robertdowneyjr.,chrisevans,markruffalo, ,action  adventure  drama anthonyrusso joerusso robertdowneyjr. chrisevans markruffalo  
Avengers: Infinity War,2018,Adult,action  adventure  sci-fi,8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,anthonyrusso,joerusso,robertdowneyjr.,chrishemsworth,markruffalo, ,action  adventure  sci-fi anthonyrusso joerusso robertdowneyjr. chrishemsworth markruffalo  
Coco,2017,Family,animation  adventure  family,8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",leeunkrich,adrianmolina,anthonygonzalez,gaelgarcíabernal,benjaminbratt, ,animation  adventure  family leeunkrich adrianmolina anthonygonzalez gaelgarcíabernal benjaminbratt  
Django Unchained,2012,Adult,drama  western,8.4,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",quentintarantino,jamiefoxx,christophwaltz,leonardodicaprio,kerrywashington, ,drama  western quentintarantino jamiefoxx christophwaltz leonardodicaprio kerrywashington  
The Dark Knight Rises,2012,Adult,action  adventure,8.4,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",christophernolan,christianbale,tomhardy,annehathaway,garyoldman, ,action  adventure christophernolan christianbale tomhardy annehathaway garyoldman  
3 Idiots,2009,Adult,comedy  drama,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",rajkumarhirani,aamirkhan,madhavan,monasingh,sharmanjoshi, ,comedy  drama rajkumarhirani aamirkhan madhavan monasingh sharmanjoshi  
Taare Zameen Par,2007,Family,drama  family,8.4,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",aamirkhan,amolegupte,darsheelsafary,aamirkhan,tiscachopra, ,drama  family aamirkhan amolegupte darsheelsafary aamirkhan tiscachopra  
WALL·E,2008,Family,animation  adventure  family,8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",andrewstanton,benburtt,elissaknight,jeffgarlin,fredwillard, ,animation  adventure  family andrewstanton benburtt elissaknight jeffgarlin fredwillard  
